Removed Pin From Net: NetName=NetU5_2 Pin=XTAL2-1
Change Component Footprint: Designator=XTAL2 Old Footprint=OSC-TH_BD2.0-P0.70-D0.3 New Footprint=R38
Change component parameters: Designator = "U4" ("U4"); Footprint = "5MM LED"; UniqueID = "\gge159be66ecd0c5436" ("\gge159be66ecd0c5436")
Change component parameters (AddParameter): Name = "BOM_EasyEDA"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "MFR0W4F2200A50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "EasyEDA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "1/4W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "RESISTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Value"; VariantName = "[No Variations]"
Change component parameters: Designator = "R6" ("R6"); Footprint = "AXIAL-0.4"; UniqueID = "\gge5f0d219e0a6afef8" ("\gge5f0d219e0a6afef8")
Change component parameters (AddParameter): Name = "BOM_EasyEDA"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "MFR0W4F2200A50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "EasyEDA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "1/4W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "RESISTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Value"; VariantName = "[No Variations]"
Change component parameters: Designator = "R7" ("R7"); Footprint = "AXIAL-0.4"; UniqueID = "\gged94846890ddd4cef" ("\gged94846890ddd4cef")
Change component parameters (AddParameter): Name = "BOM_EasyEDA"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "MFR0W4F2200A50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "EasyEDA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "1/4W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "RESISTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Value"; VariantName = "[No Variations]"
Change component parameters: Designator = "R8" ("R8"); Footprint = "AXIAL-0.4"; UniqueID = "\gge93173d0eb7e281ba" ("\gge93173d0eb7e281ba")
Change component parameters (AddParameter): Name = "BOM_EasyEDA"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "MFR0W4F2200A50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "EasyEDA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "1/4W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "RESISTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Value"; VariantName = "[No Variations]"
Change component parameters: Designator = "R9" ("R9"); Footprint = "AXIAL-0.4"; UniqueID = "\gge745d3cf0847ebe75" ("\gge745d3cf0847ebe75")
Change component parameters (AddParameter): Name = "BOM_EasyEDA"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "MFR0W4F2200A50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "EasyEDA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "1/4W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "RESISTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Value"; VariantName = "[No Variations]"
Change component parameters: Designator = "R10" ("R10"); Footprint = "AXIAL-0.4"; UniqueID = "\gge8e89e8cbcf1789f3" ("\gge8e89e8cbcf1789f3")
Change component parameters (AddParameter): Name = "BOM_EasyEDA"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "MFR0W4F2200A50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "EasyEDA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "1/4W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "RESISTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Value"; VariantName = "[No Variations]"
Change component parameters: Designator = "R11" ("R11"); Footprint = "AXIAL-0.4"; UniqueID = "\gged3670a2c7e67f3db" ("\gged3670a2c7e67f3db")
Change component parameters (AddParameter): Name = "BOM_EasyEDA"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "MFR0W4F2200A50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "EasyEDA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "1/4W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "RESISTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Value"; VariantName = "[No Variations]"
Change component parameters: Designator = "R12" ("R12"); Footprint = "AXIAL-0.4"; UniqueID = "\gge90e5ff772cc89fed" ("\gge90e5ff772cc89fed")
Change component parameters (AddParameter): Name = "BOM_EasyEDA"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "MFR0W4F2200A50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "EasyEDA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "1/4W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "RESISTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Value"; VariantName = "[No Variations]"
Change component parameters: Designator = "R13" ("R13"); Footprint = "AXIAL-0.4"; UniqueID = "\gge0a1eac5efd90379d" ("\gge0a1eac5efd90379d")
Change component parameters (AddParameter): Name = "BOM_EasyEDA"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "MFR0W4F2200A50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "EasyEDA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "1/4W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "RESISTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Value"; VariantName = "[No Variations]"
Change component parameters: Designator = "R14" ("R14"); Footprint = "AXIAL-0.4"; UniqueID = "\gge2d38f8967f0e9fbe" ("\gge2d38f8967f0e9fbe")
Change component parameters (AddParameter): Name = "BOM_EasyEDA"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "MFR0W4F2200A50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "EasyEDA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "1/4W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "RESISTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Value"; VariantName = "[No Variations]"
Change component parameters: Designator = "R15" ("R15"); Footprint = "AXIAL-0.4"; UniqueID = "\ggef29c67939a3c6752" ("\ggef29c67939a3c6752")
Change component parameters (AddParameter): Name = "BOM_EasyEDA"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "UniOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "MFR0W4F2200A50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "EasyEDA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "E57439"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "1/4W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "RESISTOR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Value"; VariantName = "[No Variations]"
Change component parameters: Designator = "U1" ("U1"); Footprint = "DIP-28_L34.6-W7.3-P2.54-LS10.2-BL"; UniqueID = "\ggeea9ef242275b561a" ("\ggeea9ef242275b561a")
Change component parameters (AddParameter): Name = "BOM_Manufacturer"; Value = "MICROCHIP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Manufacturer Part"; Value = "ATMEGA328P-PU"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "BOM_Supplier Part"; Value = "C33901"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contributor"; Value = "LCSC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "image"; Value = "//image.lceda.cn/szlcsc/C33901.jpg"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "sourceId"; Value = "Oic6oiASL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spicePre"; Value = "U"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "spiceSymbolName"; Value = "ATMEGA _328P-PU"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "timeStamp"; Value = "1451725987"; VariantName = "[No Variations]"
Added Pin To Net: NetName=NetU5_1 Pin=XTAL2-1
Added Pin To Net: NetName=NetU5_2 Pin=XTAL2-2
Added Room: Name=RTC_1_2021-08-05
